resource_id,resource_type,version_id
1EC46FCD-0549-11F0-94E9-0671E352DA21,Patient,1
1ED1C298-0549-11F0-94E9-0671E352DA21,Patient,1
1ED47A4E-0549-11F0-94E9-0671E352DA21,Patient,1
1ED6F6E1-0549-11F0-94E9-0671E352DA21,Patient,1
1ED9469E-0549-11F0-94E9-0671E352DA21,Patient,1
1EDBEE34-0549-11F0-94E9-0671E352DA21,Patient,1
1EDDF32E-0549-11F0-94E9-0671E352DA21,Patient,1
1EE03D44-0549-11F0-94E9-0671E352DA21,Patient,1
1EE27580-0549-11F0-94E9-0671E352DA21,Patient,1
1EE4C3CA-0549-11F0-94E9-0671E352DA21,Patient,1
1EE710A8-0549-11F0-94E9-0671E352DA21,Patient,1
1EE95B0E-0549-11F0-94E9-0671E352DA21,Patient,1
1EEBA363-0549-11F0-94E9-0671E352DA21,Patient,1
1EEDA2B3-0549-11F0-94E9-0671E352DA21,Patient,1
1EEFA11F-0549-11F0-94E9-0671E352DA21,Patient,1
1EF1CE83-0549-11F0-94E9-0671E352DA21,Patient,1
1EF43032-0549-11F0-94E9-0671E352DA21,Patient,1
1EF68A01-0549-11F0-94E9-0671E352DA21,Patient,1
1EF8C8D4-0549-11F0-94E9-0671E352DA21,Patient,1
1EFB08D3-0549-11F0-94E9-0671E352DA21,Patient,1
1EFD4F62-0549-11F0-94E9-0671E352DA21,Patient,1
1EFFAFA6-0549-11F0-94E9-0671E352DA21,Patient,1
1F021B35-0549-11F0-94E9-0671E352DA21,Patient,1
1F04435D-0549-11F0-94E9-0671E352DA21,Patient,1
1F068CD2-0549-11F0-94E9-0671E352DA21,Patient,1
1F08CD61-0549-11F0-94E9-0671E352DA21,Patient,1
1F0B1294-0549-11F0-94E9-0671E352DA21,Patient,1
1F0D3F1D-0549-11F0-94E9-0671E352DA21,Patient,1
1F0FAD59-0549-11F0-94E9-0671E352DA21,Patient,1
1F11D6EE-0549-11F0-94E9-0671E352DA21,Patient,1
1F1402A5-0549-11F0-94E9-0671E352DA21,Patient,1
1F162D46-0549-11F0-94E9-0671E352DA21,Patient,1
1F1873F0-0549-11F0-94E9-0671E352DA21,Patient,1
1F1AAA4E-0549-11F0-94E9-0671E352DA21,Patient,1
1F1CD7F0-0549-11F0-94E9-0671E352DA21,Patient,1
1F1ECB4E-0549-11F0-94E9-0671E352DA21,Patient,1
1F212BEB-0549-11F0-94E9-0671E352DA21,Patient,1
1F235425-0549-11F0-94E9-0671E352DA21,Patient,1
1F257DF2-0549-11F0-94E9-0671E352DA21,Patient,1
1F27DA35-0549-11F0-94E9-0671E352DA21,Patient,1
1F2A9CB1-0549-11F0-94E9-0671E352DA21,Patient,1
1F2D0803-0549-11F0-94E9-0671E352DA21,Patient,1
1F2F784C-0549-11F0-94E9-0671E352DA21,Patient,1
1F31A7C3-0549-11F0-94E9-0671E352DA21,Patient,1
